Output of KNN.py

|    k    |    li    |     iteration     |      correct train      |      correct test      |

   k = 3,    li = 1,     iteration = 43,      correct train = 132,      correct test = 106
   k = 3,    li = 1,     iteration = 44,      correct train = 128,      correct test = 102
   k = 3,    li = 1,     iteration = 45,      correct train = 125,      correct test = 108
   k = 3,    li = 1,     iteration = 46,      correct train = 124,      correct test = 109
   k = 3,    li = 1,     iteration = 47,      correct train = 126,      correct test = 108
   k = 3,    li = 1,     iteration = 48,      correct train = 125,      correct test = 113
   k = 3,    li = 1,     iteration = 49,      correct train = 130,      correct test = 111
   k = 3,    li = 1,     iteration = 50,      correct train = 124,      correct test = 111
   k = 3,    li = 1,     iteration = 51,      correct train = 124,      correct test = 106
   k = 3,    li = 1,     iteration = 52,      correct train = 119,      correct test = 109
   k = 3,    li = 1,     iteration = 53,      correct train = 124,      correct test = 111
   k = 3,    li = 1,     iteration = 54,      correct train = 125,      correct test = 107
   k = 3,    li = 1,     iteration = 55,      correct train = 124,      correct test = 109
   k = 3,    li = 1,     iteration = 56,      correct train = 121,      correct test = 113
   k = 3,    li = 1,     iteration = 57,      correct train = 125,      correct test = 111
   k = 3,    li = 1,     iteration = 58,      correct train = 121,      correct test = 110
   k = 3,    li = 1,     iteration = 59,      correct train = 123,      correct test = 104
   k = 3,    li = 1,     iteration = 60,      correct train = 120,      correct test = 113
   k = 3,    li = 1,     iteration = 61,      correct train = 128,      correct test = 110
   k = 3,    li = 1,     iteration = 62,      correct train = 128,      correct test = 108
   k = 3,    li = 1,     iteration = 63,      correct train = 122,      correct test = 111
   k = 3,    li = 1,     iteration = 64,      correct train = 124,      correct test = 112
   k = 3,    li = 1,     iteration = 65,      correct train = 121,      correct test = 116
   k = 3,    li = 1,     iteration = 66,      correct train = 123,      correct test = 102
   k = 3,    li = 1,     iteration = 67,      correct train = 129,      correct test = 107
   k = 3,    li = 1,     iteration = 68,      correct train = 124,      correct test = 111
   k = 3,    li = 1,     iteration = 69,      correct train = 127,      correct test = 112
   k = 3,    li = 1,     iteration = 70,      correct train = 128,      correct test = 100
   k = 3,    li = 1,     iteration = 71,      correct train = 126,      correct test = 110
   k = 3,    li = 1,     iteration = 72,      correct train = 129,      correct test = 107
   k = 3,    li = 1,     iteration = 73,      correct train = 126,      correct test = 115
   k = 3,    li = 1,     iteration = 74,      correct train = 126,      correct test = 105
